사진번호,파일명,라벨1,확률1(%),라벨2,확률2(%),라벨3,확률3(%),최상위라벨,최상위확률(%)
592,시장_소래포구종합어시장_1310.jpg,promenade,41.69,amusement_park,19.29,boardwalk,7.81,promenade,41.69
593,시장_수원시농수산물도매시장_860.jpg,construction_site,21.31,parking_lot,21.26,industrial_area,18.59,construction_site,21.31
594,시장_수원시농수산물도매시장_861.jpg,assembly_line,31.02,auto_factory,26.24,flea_market/indoor,7.12,assembly_line,31.02
595,시장_수원시농수산물도매시장_862.jpg,arena/performance,17.82,conference_center,14.89,stadium/football,9.65,arena/performance,17.82
596,시장_신기시장_1331.jpg,kindergarden_classroom,72.3,art_school,11.92,classroom,10.54,kindergarden_classroom,72.3
597,시장_신기시장_1333.jpg,booth/indoor,45.19,ticket_booth,15.88,subway_station/platform,5.45,booth/indoor,45.19
598,시장_신흥시장_343.jpg,wet_bar,31.38,pantry,21.53,bar,18.08,wet_bar,31.38
599,시장_신흥시장_344.jpg,arcade,57.96,atrium/public,15.43,shopping_mall/indoor,12.36,arcade,57.96
600,시장_안양농수산물도매시장 수산동_881.jpg,classroom,36.42,lecture_room,19.98,kindergarden_classroom,11.93,classroom,36.42
601,시장_안양농수산물도매시장 수산동_882.jpg,hospital,75.35,office_building,7.15,campus,5.88,hospital,75.35
602,시장_안양농수산물도매시장 수산동_883.jpg,elevator_shaft,37.64,basement,15.26,jail_cell,9.46,elevator_shaft,37.64
603,시장_안양중앙시장_866.jpg,bakery/shop,35.92,delicatessen,25.31,butchers_shop,11.29,bakery/shop,35.92
604,시장_안양중앙시장_867.jpg,bullring,79.74,plaza,4.17,stadium/football,2.92,bullring,79.74
605,시장_안양중앙시장_868.jpg,bullring,22.62,stadium/soccer,16.92,stadium/football,15.78,bullring,22.62
606,시장_용인중앙시장_854.jpg,fire_station,38.11,ski_resort,8.66,hotel/outdoor,7.32,fire_station,38.11
607,시장_용인중앙시장_855.jpg,kindergarden_classroom,50.6,locker_room,22.14,classroom,6.6,kindergarden_classroom,50.6
608,시장_용인중앙시장_856.jpg,drugstore,25.74,pharmacy,13.59,hardware_store,8.06,drugstore,25.74
609,시장_용현시장_1340.jpg,market/outdoor,66.38,art_school,9.8,flea_market/indoor,5.72,market/outdoor,66.38
610,시장_용현시장_1341.jpg,bazaar/outdoor,67.94,market/outdoor,10.64,medina,3.88,bazaar/outdoor,67.94
